stock_symbol,open_price,current_price,high_price,low_price,trading_volume,market_trend,date
AAPL,234.19234018879644,236.22010803222656,236.5897117727769,234.19234018879644,36254500,Upward,2024-10-21
AAPL,233.6329632952546,235.60079956054688,235.96040454410334,232.3443876620224,38846600,Upward,2024-10-22
AAPL,233.822752128634,230.5063934326172,234.88158476901867,227.50969037853835,52287000,Downward,2024-10-23
AAPL,229.7272566761152,230.31661987304688,230.56634513279107,228.15898997077215,31109500,Upward,2024-10-24
AAPL,229.4875225740561,231.1556854248047,232.96369380669327,229.3177112321018,38802300,Upward,2024-10-25
AAPL,233.06359498314518,233.14349365234375,234.472033847566,232.29443692443334,36087100,Upward,2024-10-28
AAPL,232.84382710997653,233.41319274902344,234.07247106119948,232.06468555632105,35417200,Upward,2024-10-29
AAPL,232.35435817157438,229.8471221923828,233.21341362628857,229.29772360355057,47070900,Downward,2024-10-30
AAPL,229.08795100904055,225.66172790527344,229.57741798472995,225.1223128313268,64370100,Downward,2024-10-31
AAPL,220.72715344034327,222.66502380371094,225.10234466312102,220.02792579428782,65276700,Upward,2024-11-01
AAPL,220.74713841963055,221.76600646972656,222.54514803369162,219.46854635353304,44944500,Upward,2024-11-04
AAPL,221.5562414690178,223.2044219970703,223.70387248945224,220.896963160989,28111300,Upward,2024-11-05
AAPL,222.36535526416637,222.47523498535156,225.82155947797517,220.94691765378838,54561100,Upward,2024-11-06
AAPL,224.38313701629485,227.22999572753906,227.629565273657,224.32320539488208,42137700,Upward,2024-11-07
AAPL,227.1699981689453,226.9600067138672,228.66000366210938,226.41000366210938,38328800,Downward,2024-11-08
AAPL,225,224.22999572753906,225.6999969482422,221.5,42005600,Downward,2024-11-11
AAPL,224.5500030517578,224.22999572753906,225.58999633789062,223.36000061035156,40398300,Downward,2024-11-12
AAPL,224.00999450683594,225.1199951171875,226.64999389648438,222.75999450683594,48566200,Upward,2024-11-13
AAPL,225.02000427246094,228.22000122070312,228.8699951171875,225,44923900,Upward,2024-11-14
AAPL,226.39999389648438,225,226.9199981689453,224.27000427246094,47923700,Downward,2024-11-15
AAPL,225.25,228.02000427246094,229.74000549316406,225.1699981689453,44686000,Upward,2024-11-18
AAPL,226.97999572753906,228.27999877929688,230.16000366210938,226.66000366210938,36211800,Upward,2024-11-19
AAPL,228.05999755859375,229,229.92999267578125,225.88999938964844,35169600,Upward,2024-11-20
AAPL,228.8800048828125,228.52000427246094,230.16000366210938,225.7100067138672,42108300,Downward,2024-11-21
AAPL,228.05999755859375,229.8699951171875,230.72000122070312,228.05999755859375,38168300,Upward,2024-11-22
AAPL,231.4600067138672,232.8699951171875,233.25,229.74000549316406,90152800,Upward,2024-11-25
AAPL,233.3300018310547,235.05999755859375,235.57000732421875,233.3300018310547,45986200,Upward,2024-11-26
AAPL,234.47000122070312,234.92999267578125,235.69000244140625,233.80999755859375,33498400,Upward,2024-11-27
AAPL,234.80999755859375,237.3300018310547,237.80999755859375,233.97000122070312,28481400,Upward,2024-11-29
AAPL,237.27000427246094,239.58999633789062,240.7899932861328,237.16000366210938,48137100,Upward,2024-12-02
AAPL,239.80999755859375,242.64999389648438,242.75999450683594,238.89999389648438,38861000,Upward,2024-12-03
AAPL,242.8699951171875,243.00999450683594,244.11000061035156,241.25,44383900,Upward,2024-12-04
AAPL,243.99000549316406,243.0399932861328,244.5399932861328,242.1300048828125,40033900,Downward,2024-12-05
AAPL,242.91000366210938,242.83999633789062,244.6300048828125,242.0800018310547,36870600,Downward,2024-12-06
AAPL,241.8300018310547,246.75,247.24000549316406,241.75,44649200,Upward,2024-12-09
AAPL,246.88999938964844,247.77000427246094,248.2100067138672,245.33999633789062,36914800,Upward,2024-12-10
AAPL,247.9600067138672,246.49000549316406,250.8000030517578,246.25999450683594,45205800,Downward,2024-12-11
AAPL,246.88999938964844,247.9600067138672,248.74000549316406,245.67999267578125,32777500,Upward,2024-12-12
AAPL,247.82000732421875,248.1300048828125,249.2899932861328,246.24000549316406,33155300,Upward,2024-12-13
AAPL,247.99000549316406,251.0399932861328,251.3800048828125,247.64999389648438,51694800,Upward,2024-12-16
AAPL,250.0800018310547,253.47999572753906,253.8300018310547,249.77999877929688,51321700,Upward,2024-12-17
GOOGL,162.84336059885683,162.1042022705078,163.03314552379246,160.50604310941137,23332100,Downward,2024-09-24
GOOGL,161.28514863352729,161.3051300048828,162.62361092925534,161.11534508030692,18869200,Upward,2024-09-25
GOOGL,163.4526630547652,162.543701171875,163.89216177797897,162.0942193836139,20319300,Downward,2024-09-26
GOOGL,162.6236194767887,163.76231384277344,165.51031051590132,162.44383284910126,21101300,Upward,2024-09-27
GOOGL,163.1330385549028,165.66014099121094,165.9597853581085,163.0730944402025,20413900,Upward,2024-09-30
GOOGL,167.49803900926474,166.79884338378906,168.9663574434244,164.39159857770997,28338100,Downward,2024-10-01
GOOGL,166.22949200998104,165.67013549804688,167.32823890222443,164.54142416704428,17760200,Downward,2024-10-02
GOOGL,164.22179840650557,165.67013549804688,166.4492413884297,163.73235383790225,15073100,Upward,2024-10-03
GOOGL,167.8676144263969,166.86875915527344,168.03741799352926,165.29056599793975,19047400,Downward,2024-10-04
GOOGL,167.52800594767675,162.79342651367188,168.2871304607625,162.56369407072728,22463100,Downward,2024-10-07
GOOGL,163.75233474045888,164.19183349609375,164.54142369438745,162.68355229004484,23072700,Upward,2024-10-08
GOOGL,163.26288934163853,161.67471313476562,164.65129754460094,159.5571448589351,31181800,Downward,2024-10-09
GOOGL,160.6858334406201,161.8944549560547,162.88332710504665,160.21637027061266,14144100,Upward,2024-10-10
GOOGL,161.94440120303656,163.05313110351562,163.7123639633056,161.05542066959453,15344300,Upward,2024-10-11
GOOGL,163.45266773305087,164.7711639404297,166.03969909717978,163.21293699316715,19016100,Upward,2024-10-14
GOOGL,165.6002081913426,165.27059936523438,167.48804403838992,164.44154766375664,20247200,Downward,2024-10-15
GOOGL,164.34164834019793,164.97093200683594,165.61019873881125,163.55255942155696,16406000,Upward,2024-10-16
GOOGL,165.54026682623436,162.74346923828125,166.179533539939,162.5736656844729,21453400,Downward,2024-10-17
GOOGL,163.0031929718876,163.23292541503906,164.52145724074808,162.89331828319396,19757700,Upward,2024-10-18
GOOGL,162.76345865438103,163.88218688964844,164.3116873279236,162.43383459552447,20946500,Upward,2024-10-21
GOOGL,162.79342721641044,164.95095825195312,165.5802419476502,162.79342721641044,16568100,Upward,2024-10-22
GOOGL,164.57138759989343,162.59365844726562,165.63018698109346,161.74462537741965,18280500,Downward,2024-10-23
GOOGL,162.64359660721192,162.53372192382812,163.14302421507978,160.82567279873874,22412500,Downward,2024-10-24
GOOGL,163.48263605894513,165.080810546875,165.4004362996681,163.2329222477887,19828900,Upward,2024-10-25
GOOGL,168.55681917401554,166.52914428710938,168.55681917401554,163.76231104702376,32138600,Downward,2024-10-28
GOOGL,167.5379836387061,169.48574829101562,170.18495914581706,166.89871690047832,42169000,Upward,2024-10-29
GOOGL,180.47314972890098,174.26028442382812,181.8116272766613,173.86073320012326,68890800,Downward,2024-10-30
GOOGL,172.93181542068857,170.91412353515625,176.61759375547854,170.80424884729752,44769000,Downward,2024-10-31
GOOGL,169.87531325104803,171.09390258789062,172.1227374784499,168.68667310994414,31796500,Upward,2024-11-01
GOOGL,169.7354619545759,169.0462646484375,170.53454918701203,167.81766174152193,21492700,Downward,2024-11-04
GOOGL,169.2360421349021,169.5457000732422,170.33478903527796,168.64672117984685,18242100,Upward,2024-11-05
GOOGL,173.60104838470335,176.3079376220703,176.73745331219902,173.30138875645662,33695500,Upward,2024-11-06
GOOGL,177.20691786224168,180.5430908203125,180.87271488977294,176.9871684826014,25352900,Upward,2024-11-07
GOOGL,180.44319843386418,178.14584350585938,180.69291225137096,177.87614831538193,22006200,Downward,2024-11-08
GOOGL,178.37557658568522,180.1435546875,180.3433226939525,178.26570189593804,17450400,Upward,2024-11-11
GOOGL,179.61415166757834,181.41207885742188,182.28109325658866,179.18463600062077,25134900,Upward,2024-11-12
